ProductionID,ShiftID,MachineID,ProductID,StartTime,EndTime,TotalUnits,GoodUnits,IdealCycleTimeSeconds,Notes,DurationMinutes
PRD-00001,SFT-00001,M101,BPA-117,06:00:00,13:19:16,501,458,44,,439.27
PRD-00002,SFT-00002,M102,BPA-105,06:00:00,13:19:27,392,387,47,,439.45
PRD-00003,SFT-00003,M103,BPA-116,06:00:00,13:19:28,325,301,64,,439.47
PRD-00004,SFT-00004,M104,BPA-111,06:00:00,13:19:22,466,442,49,,439.37
PRD-00005,SFT-00006,M106,BPA-101,06:00:00,11:30:26,496,464,46,,330.43
PRD-00006,SFT-00006,M106,BPA-105,11:30:26,13:19:19,511,485,47,,108.88
PRD-00007,SFT-00007,M107,BPA-115,06:00:00,13:19:19,575,562,43,,439.32
PRD-00008,SFT-00008,M201,EMB-204,06:00:00,13:19:04,255,236,74,,439.07
PRD-00009,SFT-00010,M203,EMB-210,06:00:00,13:19:04,263,238,74,,439.07
PRD-00010,SFT-00011,M204,EMB-201,06:00:00,13:19:19,490,471,43,,439.32
PRD-00011,SFT-00012,M205,EMB-219,06:00:00,13:00:34,279,259,74,,420.57
PRD-00012,SFT-00012,M205,EMB-206,13:00:34,13:19:14,483,463,40,,18.67
PRD-00013,SFT-00013,M206,EMB-209,06:00:00,13:19:54,410,388,53,,439.9
PRD-00014,SFT-00014,M301,CSB-312,06:00:00,13:20:00,375,343,66,,440.0
PRD-00015,SFT-00015,M302,CSB-312,06:00:00,11:35:30,358,348,66,,335.5
PRD-00016,SFT-00015,M302,CSB-307,11:35:30,13:18:30,418,381,60,,103.0
PRD-00017,SFT-00016,M303,CSB-318,06:00:00,13:19:19,564,551,43,,439.32
PRD-00018,SFT-00017,M304,CSB-309,06:00:00,07:22:30,478,452,50,,82.5
PRD-00019,SFT-00017,M304,CSB-317,07:22:30,13:19:30,340,328,70,,357.0
PRD-00020,SFT-00018,M305,CSB-306,06:00:00,13:19:24,422,387,52,,439.4
PRD-00021,SFT-00019,M101,BPA-108,14:00:00,21:14:00,316,290,60,,434.0
PRD-00022,SFT-00020,M102,BPA-108,14:00:00,16:34:00,392,360,60,,154.0
PRD-00023,SFT-00020,M102,BPA-116,16:34:00,21:13:28,331,327,64,,279.47
PRD-00024,SFT-00021,M103,BPA-110,14:00:00,18:45:55,487,453,47,,285.92
PRD-00025,SFT-00021,M103,BPA-102,18:45:55,21:13:50,279,264,71,,147.92
PRD-00026,SFT-00022,M104,BPA-113,14:00:00,21:14:23,324,308,67,,434.38
PRD-00027,SFT-00023,M105,BPA-100,14:00:00,19:17:20,352,321,68,,317.33
PRD-00028,SFT-00023,M105,BPA-119,19:17:20,21:13:44,291,275,72,,116.4
PRD-00029,SFT-00024,M106,BPA-111,14:00:00,21:14:28,427,418,49,,434.47
PRD-00030,SFT-00025,M107,BPA-116,14:00:00,21:14:08,382,369,64,,434.13
PRD-00031,SFT-00026,M201,EMB-212,14:00:00,21:14:42,320,308,63,,434.7
PRD-00032,SFT-00027,M202,EMB-216,14:00:00,21:14:00,317,290,62,,434.0
PRD-00033,SFT-00028,M203,EMB-205,14:00:00,21:14:21,374,354,51,,434.35
PRD-00034,SFT-00029,M204,EMB-201,14:00:00,15:50:22,433,421,43,,110.37
PRD-00035,SFT-00029,M204,EMB-207,15:50:22,21:14:13,380,370,51,,323.85
PRD-00036,SFT-00030,M205,EMB-217,14:00:00,21:14:23,312,291,67,,434.38
PRD-00037,SFT-00031,M206,EMB-214,14:00:00,21:14:28,432,405,49,,434.47
PRD-00038,SFT-00032,M301,CSB-303,14:00:00,21:14:12,493,451,52,,434.2
PRD-00039,SFT-00033,M302,CSB-317,14:00:00,19:23:10,325,296,70,,323.17
PRD-00040,SFT-00033,M302,CSB-313,19:23:10,21:13:50,508,469,40,,110.67
PRD-00041,SFT-00034,M303,CSB-303,14:00:00,15:17:08,408,377,52,,77.13
PRD-00042,SFT-00034,M303,CSB-311,15:17:08,21:14:30,328,316,71,,357.37
PRD-00043,SFT-00035,M304,CSB-304,14:00:00,14:58:30,417,406,54,,58.5
PRD-00044,SFT-00035,M304,CSB-311,14:58:30,21:13:37,289,267,71,,375.12
PRD-00045,SFT-00036,M305,CSB-303,14:00:00,21:14:12,478,449,52,,434.2
PRD-00046,SFT-00037,M101,BPA-116,22:00:00,04:14:24,1,1,64,,374.4
PRD-00047,SFT-00037,M101,BPA-111,04:14:24,05:28:43,1,1,49,,74.32
PRD-00048,SFT-00038,M102,BPA-109,22:00:00,00:22:48,1,1,68,,142.8
PRD-00049,SFT-00038,M102,BPA-103,00:22:48,05:28:40,1,1,74,,305.87
PRD-00050,SFT-00039,M103,BPA-117,22:00:00,01:18:44,1,1,44,,198.73
PRD-00051,SFT-00039,M103,BPA-105,01:18:44,05:29:24,1,1,47,,250.67
PRD-00052,SFT-00040,M104,BPA-100,22:00:00,01:34:12,1,1,68,,214.2
PRD-00053,SFT-00040,M104,BPA-115,01:34:12,05:28:33,1,1,43,,234.35
PRD-00054,SFT-00041,M105,BPA-104,22:00:00,03:42:57,1,1,57,,342.95
